ROI_INDEX	TISSUE_SEG	ROI_NAME	MINA_C32_mapped	MINA_C32_mapped_OI	MINA_C64_mapped	MINA_C64_mapped_OI	MINA_C128_mapped	MINA_C128_mapped_OI	MINA_C256_mapped	MINA_C256_mapped_OI	MINA_C512_mapped	MINA_C512_mapped_OI	MINA_C1024_mapped	MINA_C1024_mapped_OI
192	GM	Right SMC   supplementary motor cortex	C16	0.7495741056218058	C37	0.44122657580919933	C84	0.3526405451448041	C212	0.2708688245315162	C212	0.2708688245315162	C212	0.17206132879045996
193	GM	Left SMC   supplementary motor cortex	C16	0.7059620596205962	C64	0.34146341463414637	C84	0.2682926829268293	C194	0.16937669376693767	C197	0.16395663956639567	C197	0.16395663956639567
194	GM	Right SMG   supramarginal gyrus	C31	0.6295928500496525	C31	0.47765640516385305	C58	0.3416087388282026	C31	0.29493545183714004	C31	0.2234359483614697	C398	0.14299900695134063
195	GM	Left SMG   supramarginal gyrus	C31	0.7142857142857143	C35	0.5523138832997988	C31	0.42354124748490946	C173	0.2887323943661972	C173	0.2414486921529175	C173	0.21428571428571427
196	GM	Right SOG   superior occipital gyrus	C13	0.6017699115044248	C41	0.5398230088495575	C103	0.4491150442477876	C170	0.4269911504424779	C357	0.3606194690265487	C357	0.33849557522123896
197	GM	Left SOG   superior occipital gyrus	C13	0.39429928741092635	C41	0.6508313539192399	C41	0.48693586698337293	C247	0.5700712589073634	C312	0.38954869358669836	C312	0.30641330166270786
198	GM	Right SPL   superior parietal lobule	C29	0.415061295971979	C57	0.3809106830122592	C88	0.2565674255691769	C162	0.24430823117338005	C162	0.19001751313485113	C162	0.18126094570928197
199	GM	Left SPL   superior parietal lobule	C29	0.4095940959409594	C57	0.272140221402214	C62	0.29704797047970477	C182	0.21494464944649447	C182	0.17804428044280443	C182	0.18357933579335795
200	GM	Right STG   superior temporal gyrus	C30	0.2915742793791574	C39	0.23170731707317074	C63	0.21951219512195122	C213	0.1762749445676275	C510	0.14634146341463414	C510	0.11419068736141907
201	GM	Left STG   superior temporal gyrus	C26	0.3401506996770721	C34	0.3767491926803014	C30	0.22927879440258342	C24	0.17545748116254037	C35	0.13240043057050593	C480	0.11840688912809473
202	GM	Right TMP   temporal pole	C3	0.7515638963360143	C40	0.546916890080429	C122	0.38337801608579086	C203	0.27882037533512066	C386	0.1546023235031278	C201	0.0902591599642538
203	GM	Left TMP   temporal pole	C3	0.6978484565014031	C40	0.5706267539756782	C122	0.4892422825070159	C58	0.3124415341440599	C267	0.17867165575304023	C462	0.10664172123479888
204	GM	Right TrIFG triangular part of the inferior frontal gyrus	C10	0.4869109947643979	C61	0.6178010471204188	C109	0.7879581151832461	C232	0.4083769633507853	C141	0.28534031413612565	C141	0.2879581151832461
205	GM	Left TrIFG triangular part of the inferior frontal gyrus	C10	0.36511627906976746	C61	0.7046511627906977	C77	0.6511627906976745	C134	0.4627906976744186	C445	0.27209302325581397	C690	0.25116279069767444
206	GM	Right TTG   transverse temporal gyrus	C2	0.6853146853146853	C2	0.986013986013986	C106	0.8111888111888111	C237	0.5944055944055944	C232	0.2867132867132867	C722	0.25874125874125875
207	GM	Left TTG   transverse temporal gyrus	C2	0.8888888888888888	C2	1.0	C106	0.9259259259259259	C106	0.7566137566137566	C383	0.37566137566137564	C772	0.2222222222222222
