IDP	trait	Pvalue	ES
C1024_764	AD	2.3277199348786263e-101	0.2859132216228986
C1024_765	AD	1.0648556150769238e-05	0.0107279428867989
C1024_769	AD	7.877602657653415e-11	0.0235395018071716
C1024_771	AD	8.426050668546097e-58	0.1518136006619666
C1024_772	AD	1.1529441259037942e-15	0.0359237502242105
C1024_774	AD	2.8009974407949146e-58	0.1532104168631614
C1024_776	AD	7.87390290543138e-57	0.1489881098548001
C1024_777	AD	3.610489963137311e-36	0.0906446688106373
C1024_779	AD	2.7744921863600874e-05	0.0097123786714619
C1024_780	AD	3.592838872328332e-19	0.0450488961406271
C1024_781	AD	3.63987031008647e-109	0.3115728914768964
C1024_783	AD	2.379489828277227e-15	0.0351076787914744
C1024_784	AD	8.464155460866428e-11	0.02345656609095
C1024_786	AD	3.867480388273559e-98	0.2754782741528223
C1024_791	AD	4.107055572520994e-18	0.0422865238056863
C1024_793	AD	3.583418244164659e-18	0.0424333318167986
C1024_795	AD	1.2227357987491564e-135	0.4024943890616114
C1024_796	AD	6.472867957934139e-42	0.1065582128225207
C1024_798	AD	1.1354842354280213e-07	0.0155931930009855
C1024_799	AD	3.0817934587385723e-24	0.0584116022366081
C1024_800	AD	2.707785057065692e-40	0.1020482973884233
C1024_803	AD	1.530601102622781e-08	0.0177693239816982
C1024_804	AD	6.784005993488684e-17	0.0391120624378941
C1024_805	AD	7.709273514825545e-07	0.0135305796088561
C1024_807	AD	5.672290613397251e-21	0.0497710591787338
C1024_808	AD	1.105131344750584e-10	0.0231675207055098
C1024_809	AD	6.26888412847725e-27	0.0655865238195182
C1024_812	AD	4.710803794099212e-13	0.029205879836456
C1024_813	AD	2.556087561622704e-53	0.1388606556814136
C1024_814	AD	5.224892266316224e-177	0.5574915740979142
C1024_815	AD	9.95060335299112e-64	0.1691804423384086
C1024_818	AD	1.0254443238954265e-63	0.1691493260875257
C1024_822	AD	7.1654359274860225e-12	0.0261882423374808
C1024_824	AD	8.041228060113737e-09	0.0184679494011712
C1024_825	AD	7.684799448384387e-26	0.0626760449659772
C1024_826	AD	1.913705066325171e-21	0.0510120733351463
C1024_827	AD	5.220950924907613e-42	0.1068204335243856
C1024_828	AD	5.349841099917534e-123	0.3583067337793736
C1024_829	AD	3.2579154106415753e-13	0.0296187775921183
C1024_830	AD	2.1178689457584605e-36	0.0912877286869075
C1024_835	AD	2.4996756680139494e-25	0.0613119777421786
C1024_838	AD	2.0674709635084197e-68	0.1831061080317202
C1024_839	AD	1.919183764090544e-122	0.3564072662526453
C1024_840	AD	6.437321080433465e-37	0.0927053002742813
C1024_841	AD	6.978251147656591e-33	0.0816550910099622
C1024_843	AD	1.1724292041931128e-133	0.3954626977101566
C1024_844	AD	1.8424914304615175e-28	0.0696918493771062
C1024_845	AD	1.983383736858001e-26	0.0642519749280005
C1024_846	AD	3.106313195200084e-42	0.1074504540194818
C1024_847	AD	6.385245022496899e-166	0.514336207038431
C1024_848	AD	2.5899092114737217e-82	0.2254192997038735
C1024_849	AD	3.648417316062228e-05	0.0094235499628277
C1024_850	AD	1.8675701074729882e-14	0.0328011187976001
C1024_851	AD	8.135845634539775e-09	0.0184594268684036
C1024_852	AD	3.2507021903829005e-93	0.2596746461032873
C1024_856	AD	9.851165070695648e-85	0.2329483407056622
C1024_857	AD	2.713222732583883e-19	0.0453689354668907
C1024_858	AD	1.0720141205720115e-22	0.0543238295014247
C1024_859	AD	7.888523146972702e-50	0.1288651450437232
C1024_860	AD	8.498695659234352e-15	0.0336866928896033
C1024_862	AD	1.211358444971808e-56	0.1484556757059611
C1024_864	AD	4.1294624601076725e-20	0.0475120535437758
C1024_866	AD	6.469305998245192e-28	0.0682323170603419
C1024_868	AD	6.505986031131131e-19	0.0443686675736712
C1024_869	AD	3.75624740140561e-59	0.1557579608246875
C1024_870	AD	1.0025686757904908e-10	0.0232728763543119
C1024_871	AD	2.5248803255986524e-25	0.0613010952173625
C1024_872	AD	3.2070043681428373e-18	0.0425642894955509
C1024_873	AD	4.180358118632891e-40	0.1015120901977257
C1024_874	AD	6.591395472523149e-70	0.1875952595806424
C1024_876	AD	1.7774027029881506e-09	0.0201209909567667
C1024_877	AD	2.785702604721345e-19	0.0453389740828164
C1024_878	AD	4.2205107792653295e-41	0.1042889253005524
C1024_879	AD	1.4297490473367718e-06	0.0128684731082559
C1024_881	AD	5.191233371397481e-135	0.4002590561651465
C1024_882	AD	4.639490641242648e-05	0.0091705375072979
C1024_883	AD	2.5682162277873475e-107	0.3054390612193138
C1024_885	AD	1.2932151230712272e-99	0.2802410784257719
C1024_889	AD	1.0926313101036272e-73	0.1989987031407468
C1024_890	AD	6.2807484928590665e-18	0.0418045879591219
C1024_891	AD	7.784657972135667e-14	0.0312065766137199
C1024_892	AD	3.3747170991670867e-82	0.2250711945933327
C1024_893	AD	2.4100719122287763e-24	0.0586946989066937
C1024_895	AD	2.217399046644634e-15	0.0351867389745079
C1024_896	AD	8.233484812823377e-18	0.0414999837847614
C1024_897	AD	4.325428658394327e-16	0.0370295039745788
C1024_898	AD	1.839491793151108e-06	0.012597331546699
C1024_899	AD	3.07415231009382e-13	0.0296795870241488
C1024_900	AD	2.5709023109558007e-27	0.0666170642652597
C1024_901	AD	2.810979809005041e-107	0.3053189337009193
C1024_902	AD	1.1169962344408904e-21	0.0516332446211269
C1024_904	AD	6.590786330169501e-15	0.0339661139217253
C1024_906	AD	1.853433323653224e-14	0.0328130985962313
C1024_907	AD	1.9233840919604891e-26	0.0642873111223368
C1024_908	AD	1.3725962715157457e-22	0.0540379612683683
C1024_909	AD	1.123450035249766e-09	0.0206233888169798
C1024_910	AD	3.160051381868962e-67	0.1795705416186955
C1024_911	AD	3.2153913566725708e-37	0.0935338276163027
C1024_912	AD	4.231720719310868e-164	0.5073436884153942
C1024_913	AD	4.584525394573822e-31	0.0767236033857688
C1024_914	AD	1.7032782872453502e-09	0.0201650181403188
C1024_915	AD	1.793579541022276e-21	0.0510942423344805
C1024_916	AD	2.149252177323698e-05	0.0099826844490289
C1024_919	AD	1.4985382824408024e-09	0.0203028895868639
C1024_920	AD	3.589535257461688e-10	0.0218698016247576
C1024_921	AD	4.719290235943466e-05	0.0091502214428463
C1024_923	AD	5.884561685120582e-06	0.0113579756476832
C1024_926	AD	7.926006581359966e-08	0.0159819203341738
C1024_928	AD	1.70010358282414e-07	0.0151575867842205
C1024_929	AD	1.256513133207596e-14	0.0332437626992339
C1024_931	AD	1.2258639487277617e-19	0.0462678576664368
C1024_933	AD	3.371248668848379e-38	0.0962436102064166
C1024_934	AD	7.585212172872338e-49	0.1260702638531532
C1024_935	AD	5.324569489463787e-19	0.0445976403110086
C1024_937	AD	1.014050831122136e-14	0.0334849782070561
C1024_938	AD	5.407082698494837e-06	0.0114442583972515
C1024_939	AD	4.331513723573333e-50	0.1296077272911226
C1024_940	AD	6.432143312218028e-39	0.0982238970501106
C1024_946	AD	8.516350178720601e-20	0.0466876214711714
C1024_948	AD	2.60438288327184e-16	0.0375990702568329
C1024_949	AD	3.6885113121550753e-19	0.045020504992305
C1024_950	AD	4.5177275363536975e-24	0.0579662773681701
C1024_952	AD	6.109505302974656e-06	0.0113143017454213
C1024_955	AD	6.332297588412462e-12	0.0263200666561642
C1024_956	AD	1.3862191463556185e-05	0.0104438024515616
C1024_957	AD	2.860096502158644e-19	0.045306844882373
C1024_959	AD	1.8760177385219388e-06	0.012575289182384
C1024_961	AD	1.247123010419885e-09	0.0205029042841155
C1024_962	AD	3.4577272812320235e-81	0.2219487708222825
C1024_963	AD	1.8150832464563145e-05	0.010159503950806
C1024_965	AD	4.466895631294046e-25	0.0606325182675796
C1024_968	AD	3.662719747852545e-42	0.1072428466349335
C1024_970	AD	3.732700783810223e-07	0.0143113601278667
C1024_971	AD	1.8743119248304042e-19	0.0457833375031985
C1024_972	AD	1.9629196281854688e-23	0.0562757659828058
C1024_975	AD	1.135330301657907e-114	0.3299622894144381
C1024_979	AD	7.195503513778787e-91	0.2522354172371361
C1024_980	AD	2.7793545864914034e-26	0.0638525737560626
C1024_981	AD	2.5519823813291488e-06	0.0122492298171432
C1024_982	AD	1.1197425939528936e-05	0.010674604401596
C1024_983	AD	1.5554480748345666e-06	0.0127786232889056
C1024_984	AD	5.780922658737964e-37	0.09283320556076
C1024_985	AD	4.948217806101791e-45	0.1152931023648209
C1024_986	AD	4.791931415144207e-49	0.1266372782316766
C1024_987	AD	1.2346663885993032e-30	0.0755656157385967
C1024_992	AD	1.0013791195998142e-37	0.0949396424825651
C1024_993	AD	2.087792996230676e-27	0.066866189371348
C1024_994	AD	3.917720748296522e-32	0.0796191731730351
C1024_995	AD	5.854560869687489e-34	0.0845990552639789
C1024_999	AD	4.2067849504642405e-07	0.0141795149714647
C1024_1000	AD	1.1997993065542676e-26	0.0648289352415053
C1024_1002	AD	2.947620943012749e-150	0.4553902783596159
C1024_1003	AD	4.0566628714641254e-07	0.014221260767197
C1024_1004	AD	4.475463536407736e-10	0.0216260375500409
C1024_1005	AD	1.9695441113600212e-14	0.032741905055196
